name	count
Angola	591
Argentina	11603
Australia	13046
Austria	16079
Bangladesh	315
Belgium	149
Bhutan	27
Botswana	37
Brazil	1065
Bulgaria	2
Cameroon	455
Canada	4207
Chile	1483
China	115
Colombia	1
Croatia	21
Curacao	1
Denmark	269792
Dominican Republic	1
Ecuador	258
Egypt	2
Estonia	16607
Ethiopia	638
Finland	9632
France	1087
Germany	15184
Ghana	952
Hong Kong	196
Hungary	19
India	15207
Iraq	3
Israel	773
Italy	208
Japan	45
Jordan	254
Kenya	3
Kuwait	5
Latvia	1538
Lebanon	782
Malawi	367
Malaysia	3
Malta	65
Mauritius	643
Mexico	717
Morocco	6
Mozambique	426
Namibia	89
Netherlands	6241
New Zealand	5
Northern Mariana Islands	8
Norway	4341
Pakistan	980
Philippines	43
Poland	2
Portugal	45118
Qatar	89
Romania	7
Russia	326
Rwanda	180
Saudi Arabia	3
Senegal	81
Seychelles	77
Singapore	97
Slovakia	29906
Slovenia	6
South Africa	12599
South Korea	5
Spain	2690
Sri Lanka	1170
Switzerland	133
Thailand	1638
Timor-Leste	13
USA	1580593
Uganda	67
United Kingdom	2380002
Uruguay	41
Viet Nam	251
Zimbabwe	496
